,n_estimators,max_depth,criterion,max_features,min_samples_split,min_samples_leaf,max_leaf_nodes,model_id,score
0,272,7,gini,log2,197,104,19,RandomForestClassifier_991b83_0.624,0.6241426873254026
1,311,7,gini,sqrt,89,71,226,RandomForestClassifier_59ae8e_0.597,0.5966664477452294
2,188,14,gini,log2,41,88,184,RandomForestClassifier_1e5333_0.587,0.5873158318164309
3,188,3,entropy,log2,79,73,19,RandomForestClassifier_19c57a_0.659,0.6587164320174352
4,215,2,entropy,log2,81,176,202,RandomForestClassifier_5863db_0.688,0.6877711289847342
5,438,5,gini,log2,31,148,157,RandomForestClassifier_9a7814_0.623,0.6229333537432953
6,498,9,gini,log2,11,186,137,RandomForestClassifier_91cb28_0.6,0.6003601345140782
7,132,12,gini,log2,165,115,193,RandomForestClassifier_802c9a_0.591,0.5913118604316489
8,128,4,gini,sqrt,166,54,143,RandomForestClassifier_dd88f0_0.63,0.6296654932124242
9,138,10,gini,log2,81,133,115,RandomForestClassifier_fdec70_0.595,0.5947367152723274
10,357,15,entropy,sqrt,43,2,76,RandomForestClassifier_1cf4ba_0.59,0.5899904009434354
11,375,15,entropy,sqrt,37,17,75,RandomForestClassifier_e73f9b_0.59,0.5902838241765704
12,336,15,entropy,sqrt,48,12,87,RandomForestClassifier_41f594_0.588,0.5879303335294407
13,252,13,entropy,sqrt,3,31,83,RandomForestClassifier_30ab67_0.589,0.5887345113096342
14,327,13,entropy,sqrt,121,40,177,RandomForestClassifier_2ed3fb_0.579,0.578996667081228
15,205,12,entropy,sqrt,119,48,250,RandomForestClassifier_fbd76c_0.577,0.5773188150603965
16,401,11,entropy,sqrt,125,41,236,RandomForestClassifier_bed9f5_0.578,0.5781758624170067
17,473,11,entropy,sqrt,124,51,255,RandomForestClassifier_3968b9_0.579,0.5789000693746585
18,431,11,entropy,sqrt,141,64,245,RandomForestClassifier_7752c1_0.58,0.580498192841535
19,397,7,entropy,sqrt,116,25,226,RandomForestClassifier_badc90_0.595,0.5948239115014907
