,n_estimators,max_depth,criterion,max_features,min_samples_split,min_samples_leaf,model_id,score
0,1059,10,entropy,log2,69,10,RandomForestClassifier_83d2a0_0.58,0.5797116613462956
1,777,28,gini,log2,72,89,RandomForestClassifier_22e392_0.588,0.5876170320595234
2,1100,22,gini,log2,41,88,RandomForestClassifier_e58453_0.587,0.587427597826529
3,674,27,entropy,log2,79,73,RandomForestClassifier_d2cdc7_0.583,0.5830103576236999
4,615,26,entropy,log2,81,48,RandomForestClassifier_e4682e_0.577,0.5774498837212702
5,948,28,entropy,sqrt,51,30,RandomForestClassifier_788930_0.57,0.5701603209273476
6,647,24,entropy,sqrt,67,10,RandomForestClassifier_d29fe0_0.567,0.5670420623160467
7,1044,20,gini,log2,37,76,RandomForestClassifier_bba429_0.585,0.5853571256090836
8,683,12,gini,sqrt,38,54,RandomForestClassifier_91d304_0.579,0.5792981312921759
9,1050,18,gini,log2,81,5,RandomForestClassifier_5ff953_0.572,0.5718380780907503
10,525,16,entropy,sqrt,16,22,RandomForestClassifier_6018b2_0.568,0.5676740143326648
11,506,15,entropy,sqrt,2,20,RandomForestClassifier_657624_0.567,0.5672072236882515
12,520,14,entropy,sqrt,3,24,RandomForestClassifier_390e3d_0.569,0.5690423189059457
13,586,24,entropy,sqrt,96,1,RandomForestClassifier_e597d7_0.569,0.5687378115066781
14,781,20,entropy,sqrt,53,40,RandomForestClassifier_311da3_0.573,0.5729050682963945
15,690,16,entropy,sqrt,98,14,RandomForestClassifier_0b0a91_0.571,0.570569058068156
16,579,23,entropy,sqrt,21,36,RandomForestClassifier_2f5dfd_0.572,0.5719461529989159
17,864,10,entropy,sqrt,63,16,RandomForestClassifier_90f175_0.577,0.5765155393768323
18,500,17,entropy,sqrt,25,1,RandomForestClassifier_212718_0.562,0.5623179331907194
19,640,18,entropy,sqrt,25,3,RandomForestClassifier_0af0f2_0.562,0.5617156562594827
20,736,18,entropy,sqrt,22,1,RandomForestClassifier_b1efba_0.562,0.5622387967813396
21,728,18,entropy,sqrt,23,2,RandomForestClassifier_c43241_0.562,0.5617046372460599
22,729,19,entropy,sqrt,11,1,RandomForestClassifier_072f19_0.563,0.5631562436105759
23,859,21,entropy,sqrt,29,6,RandomForestClassifier_446d63_0.563,0.5625766866275854
24,737,13,entropy,sqrt,12,29,RandomForestClassifier_86e1c9_0.571,0.571241044463075
25,824,18,entropy,sqrt,30,10,RandomForestClassifier_ea1924_0.563,0.5634316810616135
26,736,18,entropy,sqrt,8,1,RandomForestClassifier_e5747f_0.563,0.562558154577636
27,914,16,entropy,sqrt,20,100,RandomForestClassifier_3aa3b2_0.584,0.5841257327654782
28,638,12,entropy,sqrt,45,59,RandomForestClassifier_59560a_0.578,0.5782536972156854
29,719,21,entropy,sqrt,27,13,RandomForestClassifier_232906_0.564,0.5636742269324959
30,571,19,entropy,sqrt,34,8,RandomForestClassifier_ee11a9_0.563,0.5633087967682903
31,813,17,entropy,sqrt,23,3,RandomForestClassifier_d1cb75_0.562,0.5617833539811586
32,807,17,entropy,sqrt,17,1,RandomForestClassifier_3b32f9_0.562,0.5620124094066244
33,817,14,entropy,sqrt,7,17,RandomForestClassifier_470a90_0.567,0.5667557465609409
34,769,17,gini,sqrt,16,7,RandomForestClassifier_390285_0.565,0.5646316909971404
35,863,22,entropy,sqrt,45,24,RandomForestClassifier_3b6799_0.568,0.5680807253948333
36,952,17,entropy,log2,32,1,RandomForestClassifier_b280af_0.563,0.5634873480620939
37,781,15,entropy,sqrt,16,29,RandomForestClassifier_b207af_0.57,0.5702170521437171
38,899,19,entropy,log2,44,69,RandomForestClassifier_9a60f7_0.582,0.5822450471196265
39,667,21,gini,sqrt,25,13,RandomForestClassifier_d0a3de_0.566,0.5663399611318476
40,823,15,entropy,sqrt,36,6,RandomForestClassifier_72c451_0.564,0.5644345821716951
