listing_id,high,medium,low
7170325,0.04,0.38,0.58
7092344,0.04,0.44,0.52
7158677,0.04,0.2,0.76
7211212,0.16,0.24,0.6
7225292,0.0,0.04,0.96
7226687,0.08,0.4,0.52
7126989,0.04,0.4,0.56
7114138,0.04,0.24,0.72
7131094,0.0,0.1,0.9
7224815,0.0,0.18,0.82
7107333,0.0,0.1,0.9
7088993,0.06,0.46,0.48
7216312,0.06,0.48,0.46
7140668,0.02,0.12,0.86
7141160,0.02,0.22,0.76
7753784,0.26,0.32,0.42
7140840,0.04,0.2,0.76
7172046,0.12,0.4,0.48
7168225,0.0,0.16,0.84
7213185,0.0,0.0,1.0
7206465,0.1,0.4,0.5
7134612,0.0,0.06,0.94
7156935,0.0,0.02,0.98
7096161,0.0,0.22,0.78
7131812,0.02,0.34,0.64
7185840,0.02,0.16,0.82
7114220,0.0,0.04,0.96
7231209,0.0,0.22,0.78
7229242,0.0,0.16,0.84
7089887,0.0,0.4,0.6
7217009,0.02,0.3,0.68
7167986,0.06,0.3,0.64
7126940,0.12,0.34,0.54
7159596,0.12,0.3,0.58
7111210,0.52,0.36,0.12
7152345,0.14,0.28,0.58
7204899,0.02,0.14,0.84
7230245,0.04,0.3,0.66
7211226,0.06,0.22,0.72
7195563,0.02,0.2,0.78
7181313,0.08,0.32,0.6
7206858,0.0,0.02,0.98
7126878,0.16,0.42,0.42
7174518,0.0,0.02,0.98
7209804,0.02,0.38,0.6
7119598,0.04,0.2,0.76
7133917,0.02,0.06,0.92
7174224,0.16,0.26,0.58
7157060,0.22,0.44,0.34
7173006,0.02,0.12,0.86
7216314,0.0,0.0,1.0
7219476,0.08,0.4,0.52
7139119,0.0,0.06,0.94
7206653,0.0,0.06,0.94
7091061,0.14,0.42,0.44
7097027,0.04,0.14,0.82
7106145,0.02,0.36,0.62
7167352,0.0,0.06,0.94
7168370,0.0,0.0,1.0
7097907,0.06,0.16,0.78
7231268,0.1,0.4,0.5
7136953,0.08,0.3,0.62
7163499,0.0,0.12,0.88
7205089,0.04,0.16,0.8
7215442,0.04,0.16,0.8
7221305,0.0,0.08,0.92
7218351,0.08,0.5,0.42
7148695,0.04,0.32,0.64
7134031,0.1,0.26,0.64
7194919,0.06,0.22,0.72
7198551,0.0,0.0,1.0
7090836,0.0,0.04,0.96
7129585,0.0,0.1,0.9
7107617,0.22,0.54,0.24
7232120,0.02,0.44,0.54
7158471,0.0,0.0,1.0
7117491,0.0,0.02,0.98
7194997,0.0,0.18,0.82
7184842,0.24,0.32,0.44
7111019,0.02,0.3,0.68
7149858,0.0,0.06,0.94
7141788,0.12,0.44,0.44
7134172,0.16,0.42,0.42
7233228,0.08,0.44,0.48
7166956,0.02,0.04,0.94
7134741,0.0,0.02,0.98
7148587,0.0,0.04,0.96
7114391,0.06,0.4,0.54
7210245,0.02,0.2,0.78
7200221,0.2,0.56,0.24
7176451,0.0,0.0,1.0
7112578,0.0,0.04,0.96
7169964,0.16,0.46,0.38
7129699,0.08,0.38,0.54
7192613,0.04,0.24,0.72
7137236,0.0,0.0,1.0
7129545,0.0,0.16,0.84
7167474,0.12,0.36,0.52
7187520,0.0,0.0,1.0
7219030,0.1,0.28,0.62
7194762,0.02,0.28,0.7
7223079,0.1,0.24,0.66
7197337,0.1,0.32,0.58
7103559,0.04,0.34,0.62
7112266,0.14,0.28,0.58
7172018,0.16,0.64,0.2
7161834,0.04,0.36,0.6
7135375,0.06,0.22,0.72
7129249,0.02,0.12,0.86
7125143,0.0,0.24,0.76
7151407,0.5,0.44,0.06
7223550,0.0,0.02,0.98
7223021,0.12,0.34,0.54
7174183,0.04,0.32,0.64
