URL,OBJECTID,NAME,the_geom,lon,lat
http://web.mta.info/nyct/service/,1,Astor Pl,POINT,-73.99107,40.73
http://web.mta.info/nyct/service/,2,Canal St,POINT,-74.00019,40.72
http://web.mta.info/nyct/service/,3,50th St,POINT,-73.98385,40.76
http://web.mta.info/nyct/service/,4,Bergen St,POINT,-73.975,40.68
http://web.mta.info/nyct/service/,5,Pennsylvania Ave,POINT,-73.89489,40.66
http://web.mta.info/nyct/service/,6,238th St,POINT,-73.90087,40.88
http://web.mta.info/nyct/service/,7,Cathedral Pkwy (110th St),POINT,-73.95807,40.8
http://web.mta.info/nyct/service/,8,Kingston - Throop Aves,POINT,-73.94086,40.68
http://web.mta.info/nyct/service/,9,65th St,POINT,-73.89879,40.75
http://web.mta.info/nyct/service/,10,36th St,POINT,-73.92902,40.75
http://web.mta.info/nyct/service/,11,Delancey St - Essex St,POINT,-73.98741,40.72
http://web.mta.info/nyct/service/,12,Van Siclen Ave,POINT,-73.89166,40.68
http://web.mta.info/nyct/service/,13,Norwood Ave,POINT,-73.87963,40.68
http://web.mta.info/nyct/service/,14,104th-102nd Sts,POINT,-73.84444,40.7
http://web.mta.info/nyct/service/,15,DeKalb Ave,POINT,-73.98177,40.69
http://web.mta.info/nyct/service/,16,Beach 105th St,POINT,-73.82758,40.58
http://web.mta.info/nyct/service/,17,Beach 90th St,POINT,-73.81365,40.59
http://web.mta.info/nyct/service/,18,Freeman St,POINT,-73.89175,40.83
http://web.mta.info/nyct/service/,19,Intervale Ave,POINT,-73.89662,40.82
http://web.mta.info/nyct/service/,20,182nd-183rd Sts,POINT,-73.90074,40.86
http://web.mta.info/nyct/service/,21,174th-175th Sts,POINT,-73.91014,40.85
http://web.mta.info/nyct/service/,22,167th St,POINT,-73.91843,40.83
http://web.mta.info/nyct/service/,23,Mets - Willets Point,POINT,-73.84562,40.75
http://web.mta.info/nyct/service/,24,Junction Blvd,POINT,-73.86953,40.75
http://web.mta.info/nyct/service/,25,Flushing - Main St,POINT,-73.83003,40.76
http://web.mta.info/nyct/service/,26,Buhre Ave,POINT,-73.83257,40.85
http://web.mta.info/nyct/service/,27,3rd Ave - 138th St,POINT,-73.92614,40.81
http://web.mta.info/nyct/service/,28,Castle Hill Ave,POINT,-73.85122,40.83
http://web.mta.info/nyct/service/,29,Brooklyn Bridge - City Hall,POINT,-74.00413,40.71
http://web.mta.info/nyct/service/,30,Zerega Ave,POINT,-73.84704,40.84
http://web.mta.info/nyct/service/,31,Grand Central - 42nd St,POINT,-73.97671,40.75
http://web.mta.info/nyct/service/,32,33rd St,POINT,-73.98208,40.75
http://web.mta.info/nyct/service/,33,96th St,POINT,-73.95107,40.79
http://web.mta.info/nyct/service/,34,77th St,POINT,-73.95987,40.77
http://web.mta.info/nyct/service/,35,Chauncey St,POINT,-73.91038,40.68
http://web.mta.info/nyct/service/,36,Union St,POINT,-73.98311,40.68
http://web.mta.info/nyct/service/,37,Elmhurst Ave,POINT,-73.88203,40.74
http://web.mta.info/nyct/service/,38,Ralph Ave,POINT,-73.92079,40.68
http://web.mta.info/nyct/service/,39,Pelham Pkwy,POINT,-73.86748,40.86
http://web.mta.info/nyct/service/,40,Gun Hill Rd,POINT,-73.86613,40.88
http://web.mta.info/nyct/service/,41,Nereid Ave (238 St),POINT,-73.85432,40.9
http://web.mta.info/nyct/service/,42,Franklin Ave,POINT,-73.9581,40.67
http://web.mta.info/nyct/service/,43,Simpson St,POINT,-73.89307,40.82
http://web.mta.info/nyct/service/,44,Bronx Park East,POINT,-73.86836,40.85
http://web.mta.info/nyct/service/,45,Winthrop St,POINT,-73.95008,40.66
http://web.mta.info/nyct/service/,46,Van Siclen Ave,POINT,-73.8894,40.67
http://web.mta.info/nyct/service/,47,149th St - Grand Concourse,POINT,-73.92738,40.82
http://web.mta.info/nyct/service/,48,161st St - Yankee Stadium,POINT,-73.92569,40.83
http://web.mta.info/nyct/service/,49,Lexington Ave - 59th St,POINT,-73.96797,40.76
http://web.mta.info/nyct/service/,50,E 149th St,POINT,-73.9041,40.81
http://web.mta.info/nyct/service/,51,Morrison Av - Soundview,POINT,-73.87452,40.83
http://web.mta.info/nyct/service/,52,Whitlock Ave,POINT,-73.88628,40.83
http://web.mta.info/nyct/service/,53,St Lawrence Ave,POINT,-73.86762,40.83
http://web.mta.info/nyct/service/,54,Woodside - 61st St,POINT,-73.90298,40.75
http://web.mta.info/nyct/service/,55,Far Rockaway - Mott Ave,POINT,-73.7554,40.6
http://web.mta.info/nyct/service/,56,72nd St,POINT,-73.97634,40.78
